"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\App.js", "JavaScript", 12, 0, 0, 2, 14
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\app.json", "JSON", 0, 32, 0, 1, 33
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\index.js", "JavaScript", 3, 0, 3, 3, 9
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\package-lock.json", "JSON", 0, 9981, 0, 1, 9982
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\package.json", "JSON", 0, 32, 0, 1, 33
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\api\ForgeTrackerAPI.js", "JavaScript", 4, 0, 5, 3, 12
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\ExercisesDetail.js", "JavaScript", 45, 0, 1, 6, 52
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\ExercisesList.js", "JavaScript", 61, 0, 0, 8, 69
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\PersonalRecordBox.js", "JavaScript", 44, 0, 3, 4, 51
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\ProgramDayBox.js", "JavaScript", 173, 0, 4, 14, 191
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\ProgramExerciseDetail.js", "JavaScript", 189, 0, 5, 15, 209
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\SetNumber.js", "JavaScript", 24, 0, 0, 4, 28
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\TrainingProgramBox.js", "JavaScript", 130, 0, 6, 7, 143
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\WeightInput.js", "JavaScript", 31, 0, 0, 4, 35
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\WeightLoggingModal.js", "JavaScript", 136, 0, 8, 18, 162
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\WorkoutBar.js", "JavaScript", 143, 0, 1, 14, 158
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\WorkoutExerciseDetail.js", "JavaScript", 49, 0, 2, 4, 55
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\shared\NumericTextInput.js", "JavaScript", 38, 0, 0, 4, 42
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\shared\SearchBar.js", "JavaScript", 38, 0, 0, 4, 42
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\shared\StandardButton.js", "JavaScript", 36, 0, 3, 4, 43
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\shared\StandardTextInput.js", "JavaScript", 37, 0, 3, 4, 44
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\workout\ExercisePage.js", "JavaScript", 74, 0, 0, 11, 85
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\workout\ExerciseSetRow.js", "JavaScript", 58, 0, 0, 7, 65
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\workout\ExerciseStatsCard.js", "JavaScript", 51, 0, 0, 7, 58
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\workout\RestTimer.js", "JavaScript", 85, 0, 0, 10, 95
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\components\workout\WorkoutBreakdown.js", "JavaScript", 106, 0, 0, 10, 116
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\context\TrainingProgramsContext.js", "JavaScript", 83, 0, 7, 10, 100
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\context\WorkoutContext.js", "JavaScript", 160, 0, 1, 23, 184
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\context\createDataContext.js", "JavaScript", 17, 0, 0, 6, 23
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\data\dummyData\weightData.js", "JavaScript", 166, 0, 0, 1, 167
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\database\localDatabase.js", "JavaScript", 77, 0, 7, 7, 91
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\hooks\useExercises.js", "JavaScript", 20, 0, 0, 5, 25
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\hooks\useMuscleGroups.js", "JavaScript", 20, 0, 0, 5, 25
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\hooks\useOneRepMax.js", "JavaScript", 16, 0, 0, 5, 21
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\hooks\usePersonalRecords.js", "JavaScript", 47, 0, 0, 13, 60
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\hooks\useTotalWeight.js", "JavaScript", 40, 0, 0, 6, 46
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\hooks\useUploadExercise.js", "JavaScript", 54, 0, 3, 14, 71
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\hooks\useWorkoutLogger.js", "JavaScript", 50, 0, 1, 13, 64
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\hooks\useWorkoutMuscleStats.js", "JavaScript", 58, 0, 0, 13, 71
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\hooks\useWorkoutRestTimer.js", "JavaScript", 41, 0, 1, 9, 51
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\hooks\useWorkoutSetInputs.js", "JavaScript", 45, 0, 2, 9, 56
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\hooks\useWorkoutStreak.js", "JavaScript", 61, 0, 0, 26, 87
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\navigation\AppNavigator.js", "JavaScript", 10, 0, 1, 2, 13
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\navigation\MainTabs.js", "JavaScript", 57, 0, 1, 3, 61
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\navigation\ProfileStack.js", "JavaScript", 45, 0, 2, 3, 50
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\navigation\SearchStack.js", "JavaScript", 34, 0, 2, 3, 39
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\navigation\WorkoutStack.js", "JavaScript", 63, 0, 0, 3, 66
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\repos\trainingProgramsRepository.js", "JavaScript", 189, 0, 5, 33, 227
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\repos\weightRepository.js", "JavaScript", 26, 0, 0, 5, 31
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\repos\workoutRepository.js", "JavaScript", 149, 0, 3, 38, 190
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\AddExerciseScreen.js", "JavaScript", 213, 0, 6, 25, 244
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\AddNewProgramScreen.js", "JavaScript", 55, 0, 4, 9, 68
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\AddProgramDayScreen.js", "JavaScript", 86, 0, 4, 13, 103
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\BodyMeasurementsScreen.js", "JavaScript", 218, 0, 1, 31, 250
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\ExerciseDetailsScreen.js", "JavaScript", 63, 0, 1, 6, 70
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\ExerciseSearchScreen.js", "JavaScript", 143, 0, 6, 16, 165
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\PersonalRecordsScreen.js", "JavaScript", 49, 0, 0, 7, 56
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\ProfileScreen.js", "JavaScript", 59, 0, 0, 6, 65
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\ProgramDayDetailsScreen.js", "JavaScript", 43, 0, 0, 4, 47
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\ProgramDetailsScreen.js", "JavaScript", 70, 0, 0, 7, 77
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\WorkoutCalendarScreen.js", "JavaScript", 77, 0, 2, 16, 95
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\WorkoutDetailsScreen.js", "JavaScript", 48, 0, 0, 4, 52
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\WorkoutPlanningScreen.js", "JavaScript", 124, 0, 7, 9, 140
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\WorkoutScreen.js", "JavaScript", 284, 0, 0, 46, 330
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\WorkoutSummaryScreen.js", "JavaScript", 148, 0, 1, 16, 165
"Total", "-", 4775, 10045, 112, 640, 15572